epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,26092,1.20621,0.64718,1.03715,0.83807,0.72285,0.80236,0.45492,1.25452,0.64624,1.05313,0.0008647,0.0008647,0.0008647
43,26713.3,1.20905,0.64582,1.04087,0.85404,0.69184,0.78328,0.45599,1.26222,0.6381,1.05605,0.0008614,0.0008614,0.0008614
44,27332.5,1.20753,0.64275,1.03606,0.87086,0.71872,0.82186,0.46235,1.25006,0.62872,1.05146,0.0008581,0.0008581,0.0008581
45,27954.4,1.19975,0.63353,1.03241,0.80583,0.73535,0.80449,0.45162,1.24595,0.62887,1.04981,0.0008548,0.0008548,0.0008548
46,28574.2,1.19453,0.63293,1.03147,0.8596,0.73677,0.81871,0.4678,1.24145,0.62658,1.05017,0.0008515,0.0008515,0.0008515
47,29196.2,1.17886,0.61906,1.02606,0.87371,0.69225,0.78886,0.46301,1.24221,0.62217,1.04935,0.0008482,0.0008482,0.0008482
48,29814.9,1.17952,0.61832,1.0261,0.87386,0.70666,0.80047,0.46169,1.24271,0.62893,1.04582,0.0008449,0.0008449,0.0008449
49,30433.1,1.17821,0.6207,1.02775,0.86595,0.7127,0.81297,0.4555,1.23661,0.62322,1.04657,0.0008416,0.0008416,0.0008416
50,31052.1,1.1809,0.61871,1.01995,0.87455,0.70633,0.80176,0.46832,1.23854,0.61848,1.04999,0.0008383,0.0008383,0.0008383
51,31671.4,1.16823,0.60947,1.01836,0.8487,0.74565,0.8221,0.46976,1.23851,0.61397,1.046,0.000835,0.000835,0.000835
52,32293.3,1.16105,0.60814,1.017,0.85948,0.72279,0.81403,0.46538,1.24056,0.61262,1.0496,0.0008317,0.0008317,0.0008317
53,32912.8,1.15939,0.60899,1.01925,0.86825,0.72963,0.82167,0.47273,1.23889,0.61164,1.047,0.0008284,0.0008284,0.0008284
54,33535.7,1.16245,0.60797,1.01864,0.80593,0.74217,0.8218,0.47256,1.22863,0.60631,1.04269,0.0008251,0.0008251,0.0008251
55,34154.6,1.1611,0.60804,1.01739,0.87666,0.72139,0.8296,0.47419,1.23078,0.60837,1.04558,0.0008218,0.0008218,0.0008218
56,34776,1.15257,0.59921,1.01382,0.84878,0.77825,0.83458,0.47819,1.23807,0.60824,1.04842,0.0008185,0.0008185,0.0008185
57,35398.3,1.14476,0.5965,1.01278,0.83439,0.75252,0.83234,0.47965,1.23035,0.59934,1.04404,0.0008152,0.0008152,0.0008152
58,36020,1.14951,0.59635,1.01269,0.85797,0.74554,0.84255,0.48177,1.24257,0.6042,1.05103,0.0008119,0.0008119,0.0008119
59,36642.5,1.13669,0.5926,1.00794,0.86095,0.74365,0.83725,0.47769,1.23646,0.60428,1.04793,0.0008086,0.0008086,0.0008086
60,37261.9,1.12871,0.58459,1.0057,0.89287,0.73719,0.82927,0.47735,1.23411,0.60146,1.04395,0.0008053,0.0008053,0.0008053
61,37881.4,1.13484,0.58259,1.00375,0.87318,0.72625,0.83187,0.47638,1.23422,0.5965,1.04719,0.000802,0.000802,0.000802
62,38500.9,1.12752,0.58264,1.00364,0.89062,0.74755,0.83525,0.49139,1.2284,0.59736,1.04284,0.0007987,0.0007987,0.0007987
63,39122.8,1.13048,0.58252,1.00348,0.83441,0.74965,0.82787,0.48408,1.22195,0.5949,1.03999,0.0007954,0.0007954,0.0007954
64,39742.1,1.12646,0.58289,1.00069,0.85398,0.76241,0.83307,0.4815,1.23304,0.5933,1.04669,0.0007921,0.0007921,0.0007921
65,40361.9,1.1299,0.57792,1.00492,0.88843,0.71154,0.82474,0.48562,1.23257,0.59147,1.04617,0.0007888,0.0007888,0.0007888
66,40981.2,1.11595,0.57638,0.99917,0.86445,0.73049,0.82806,0.48547,1.22685,0.59237,1.04363,0.0007855,0.0007855,0.0007855
67,41598.8,1.10696,0.57148,0.99685,0.87186,0.72691,0.82274,0.48462,1.22317,0.59112,1.04121,0.0007822,0.0007822,0.0007822
68,42218.1,1.10958,0.57295,0.99499,0.85409,0.75101,0.83157,0.48654,1.2244,0.59266,1.04506,0.0007789,0.0007789,0.0007789
69,42837.3,1.10246,0.56572,0.98905,0.86968,0.72859,0.83071,0.48494,1.22521,0.58627,1.04397,0.0007756,0.0007756,0.0007756
70,43457.2,1.09812,0.56197,0.99293,0.87237,0.73804,0.83315,0.4806,1.22263,0.58525,1.04364,0.0007723,0.0007723,0.0007723
71,44074.8,1.09715,0.56246,0.99226,0.83112,0.77356,0.82681,0.4835,1.22101,0.57954,1.04674,0.000769,0.000769,0.000769
72,44693.3,1.08855,0.55534,0.98861,0.84886,0.76312,0.82525,0.47889,1.22382,0.58306,1.04638,0.0007657,0.0007657,0.0007657
73,45311.6,1.09277,0.55802,0.98659,0.87562,0.7468,0.84039,0.48518,1.22764,0.5792,1.04428,0.0007624,0.0007624,0.0007624
74,45931.9,1.08386,0.55534,0.985,0.87206,0.72657,0.83116,0.48078,1.21912,0.58271,1.04494,0.0007591,0.0007591,0.0007591
75,46549.3,1.09249,0.55544,0.99076,0.82987,0.78676,0.84033,0.48406,1.21886,0.57844,1.04196,0.0007558,0.0007558,0.0007558
76,47169.7,1.08816,0.55511,0.98314,0.83322,0.76377,0.84148,0.48614,1.21643,0.5807,1.04112,0.0007525,0.0007525,0.0007525
77,47788.6,1.07058,0.54133,0.97858,0.87385,0.72986,0.83192,0.49055,1.21564,0.57845,1.0408,0.0007492,0.0007492,0.0007492
78,48406.9,1.06437,0.53885,0.98109,0.87051,0.76998,0.84859,0.48904,1.21624,0.57436,1.04236,0.0007459,0.0007459,0.0007459
79,49023.7,1.07096,0.546,0.98155,0.85004,0.79058,0.84081,0.48457,1.21649,0.57726,1.04111,0.0007426,0.0007426,0.0007426
80,49641.9,1.05647,0.54432,0.97783,0.86056,0.75891,0.8452,0.48532,1.22093,0.57222,1.04331,0.0007393,0.0007393,0.0007393
81,50259.9,1.05308,0.53586,0.97444,0.8613,0.75214,0.83848,0.49074,1.21605,0.56964,1.04094,0.000736,0.000736,0.000736
82,50878,1.05125,0.53542,0.97475,0.87917,0.74403,0.836,0.48421,1.21678,0.57359,1.04178,0.0007327,0.0007327,0.0007327
83,51496.5,1.0462,0.53387,0.97379,0.85134,0.76406,0.84384,0.48665,1.21579,0.56722,1.04246,0.0007294,0.0007294,0.0007294
84,52116.4,1.04561,0.52616,0.97026,0.87278,0.74957,0.83966,0.48322,1.2207,0.57122,1.04485,0.0007261,0.0007261,0.0007261
85,52735.2,1.04176,0.52972,0.97205,0.85442,0.76212,0.82915,0.48732,1.22031,0.57,1.04414,0.0007228,0.0007228,0.0007228
86,53354.4,1.03624,0.52624,0.96951,0.86833,0.74214,0.82873,0.48185,1.21931,0.57186,1.0442,0.0007195,0.0007195,0.0007195
87,53975.2,1.0425,0.5274,0.97088,0.8641,0.78626,0.84202,0.4904,1.22056,0.56899,1.04306,0.0007162,0.0007162,0.0007162
88,54596.1,1.03169,0.52051,0.96654,0.85867,0.77065,0.8456,0.48643,1.21825,0.5697,1.04532,0.0007129,0.0007129,0.0007129
89,55216.4,1.0195,0.51763,0.96342,0.87309,0.73742,0.83574,0.48064,1.21322,0.56441,1.04147,0.0007096,0.0007096,0.0007096
90,55837.4,1.03086,0.51983,0.96442,0.84619,0.77674,0.82559,0.4704,1.21654,0.57011,1.04156,0.0007063,0.0007063,0.0007063
91,56455.8,1.01732,0.51357,0.96408,0.82124,0.76177,0.82577,0.47086,1.21642,0.56808,1.04315,0.000703,0.000703,0.000703
92,57076,1.01331,0.50587,0.95979,0.8495,0.74714,0.83498,0.48723,1.2202,0.56629,1.04436,0.0006997,0.0006997,0.0006997
93,57696.2,1.01804,0.51112,0.96211,0.87142,0.75817,0.84255,0.48978,1.21861,0.57194,1.04386,0.0006964,0.0006964,0.0006964
94,58314.4,1.00797,0.50839,0.95637,0.87365,0.75568,0.84144,0.48681,1.21959,0.56409,1.04475,0.0006931,0.0006931,0.0006931
95,58928.6,1.00576,0.50819,0.96027,0.82002,0.80395,0.84121,0.48055,1.21954,0.56582,1.04524,0.0006898,0.0006898,0.0006898
96,59544.5,1.00032,0.50013,0.95431,0.81553,0.80271,0.84324,0.48357,1.21608,0.56129,1.04323,0.0006865,0.0006865,0.0006865
97,60161.2,0.99875,0.5053,0.95619,0.85379,0.75906,0.8459,0.49097,1.21421,0.56434,1.04175,0.0006832,0.0006832,0.0006832
98,60781.4,1.00303,0.5034,0.95573,0.85332,0.76297,0.83933,0.48693,1.21935,0.56571,1.04371,0.0006799,0.0006799,0.0006799
99,61397.8,1.00151,0.5046,0.95581,0.85256,0.77856,0.84351,0.48875,1.21966,0.56542,1.04628,0.0006766,0.0006766,0.0006766
100,62014.8,0.99463,0.50291,0.95527,0.84518,0.77238,0.83694,0.48802,1.21744,0.56275,1.04723,0.0006733,0.0006733,0.0006733
101,62632,0.98489,0.49559,0.95097,0.87559,0.75316,0.84373,0.49894,1.22032,0.56116,1.04867,0.00067,0.00067,0.00067
102,63252.1,0.98074,0.49407,0.95101,0.88355,0.75793,0.84984,0.49615,1.21759,0.56161,1.0472,0.0006667,0.0006667,0.0006667
103,63872.5,0.98981,0.49962,0.95159,0.81607,0.78954,0.84198,0.49048,1.2206,0.56156,1.04688,0.0006634,0.0006634,0.0006634
104,64492.9,0.98033,0.49324,0.94854,0.87347,0.7474,0.85081,0.49922,1.22218,0.56004,1.04761,0.0006601,0.0006601,0.0006601
105,65117.4,0.98286,0.49245,0.94788,0.85613,0.77601,0.8476,0.49673,1.22485,0.55985,1.05174,0.0006568,0.0006568,0.0006568
106,65738,0.9657,0.48238,0.94347,0.84758,0.78526,0.85047,0.4948,1.21956,0.55827,1.0485,0.0006535,0.0006535,0.0006535
107,66357.8,0.96873,0.48758,0.94284,0.8879,0.7566,0.85593,0.49663,1.21923,0.5588,1.0479,0.0006502,0.0006502,0.0006502
108,66977.6,0.97367,0.48905,0.94561,0.84499,0.7814,0.85122,0.49674,1.22459,0.55843,1.05127,0.0006469,0.0006469,0.0006469
109,67597.8,0.95884,0.48162,0.94335,0.87817,0.76279,0.84241,0.48835,1.223,0.55629,1.04963,0.0006436,0.0006436,0.0006436
110,68218.8,0.95904,0.47857,0.93961,0.88148,0.74192,0.8378,0.49079,1.2253,0.55751,1.0512,0.0006403,0.0006403,0.0006403
111,68839,0.95062,0.47789,0.93912,0.8474,0.78877,0.84317,0.48671,1.22829,0.55993,1.05398,0.000637,0.000637,0.000637
112,69460.3,0.9486,0.47506,0.9402,0.82765,0.79769,0.84527,0.48562,1.22623,0.55904,1.05301,0.0006337,0.0006337,0.0006337
113,70080.2,0.94377,0.47256,0.93745,0.85931,0.78156,0.8455,0.49363,1.22346,0.55691,1.05294,0.0006304,0.0006304,0.0006304
114,70700.8,0.94872,0.47381,0.93824,0.86691,0.79074,0.84877,0.4951,1.22257,0.55669,1.05143,0.0006271,0.0006271,0.0006271
115,71319.1,0.94083,0.47205,0.93908,0.88458,0.76425,0.84716,0.49155,1.22321,0.55356,1.05182,0.0006238,0.0006238,0.0006238
116,71940,0.93811,0.46816,0.93569,0.85791,0.80307,0.85401,0.49965,1.22249,0.55354,1.05159,0.0006205,0.0006205,0.0006205
