epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,21751.5,0.95973,0.54369,0.98534,0.83997,0.71318,0.79069,0.51615,0.98879,0.52206,0.98337,0.0008647,0.0008647,0.0008647
43,22270.4,0.95938,0.54887,0.98135,0.85651,0.68989,0.78671,0.51193,1.008,0.53057,0.99134,0.0008614,0.0008614,0.0008614
44,22782.8,0.96022,0.54038,0.9842,0.8519,0.71901,0.79491,0.52151,0.99444,0.52209,0.99101,0.0008581,0.0008581,0.0008581
45,23298.8,0.95198,0.53702,0.98092,0.83735,0.72025,0.79935,0.52337,0.99298,0.52147,0.98706,0.0008548,0.0008548,0.0008548
46,23817.1,0.95204,0.538,0.98441,0.82018,0.74143,0.7987,0.52632,0.98821,0.51809,0.98593,0.0008515,0.0008515,0.0008515
47,24335,0.94646,0.52984,0.97451,0.8547,0.72504,0.79943,0.52264,0.99513,0.5205,0.98652,0.0008482,0.0008482,0.0008482
48,24849.7,0.93288,0.52184,0.97181,0.8536,0.75021,0.81683,0.53484,0.97941,0.51234,0.97715,0.0008449,0.0008449,0.0008449
49,25366.8,0.93277,0.51732,0.97365,0.84036,0.72241,0.80217,0.53004,0.97537,0.51051,0.97676,0.0008416,0.0008416,0.0008416
50,25881.3,0.93358,0.52066,0.97056,0.84821,0.73739,0.81128,0.53614,0.97919,0.50776,0.97811,0.0008383,0.0008383,0.0008383
51,26398.4,0.93055,0.52314,0.97114,0.86818,0.71987,0.80581,0.53542,0.97863,0.50848,0.98105,0.000835,0.000835,0.000835
52,26911.2,0.92227,0.51404,0.96481,0.83685,0.74518,0.8054,0.53627,0.97763,0.50685,0.98311,0.0008317,0.0008317,0.0008317
53,27422.9,0.9224,0.51497,0.96337,0.84858,0.74127,0.80758,0.539,0.97831,0.50834,0.97731,0.0008284,0.0008284,0.0008284
54,27940,0.91587,0.51236,0.96518,0.8431,0.75126,0.81257,0.53608,0.97759,0.50444,0.98141,0.0008251,0.0008251,0.0008251
55,28453.6,0.91417,0.5104,0.96046,0.85206,0.74192,0.81506,0.5426,0.96226,0.49563,0.97085,0.0008218,0.0008218,0.0008218
56,28969.6,0.90769,0.50638,0.96073,0.8614,0.73668,0.81718,0.54644,0.97093,0.49999,0.97244,0.0008185,0.0008185,0.0008185
57,29486.2,0.91873,0.50558,0.95786,0.86399,0.74436,0.81937,0.54451,0.96224,0.49851,0.96912,0.0008152,0.0008152,0.0008152
58,30000.2,0.91109,0.50409,0.95395,0.87264,0.74158,0.82329,0.54197,0.97214,0.50403,0.97651,0.0008119,0.0008119,0.0008119
59,30511.8,0.90874,0.50801,0.95771,0.8423,0.73718,0.80978,0.53841,0.97299,0.50075,0.97339,0.0008086,0.0008086,0.0008086
60,31026.1,0.90594,0.50195,0.95589,0.83607,0.75248,0.82071,0.54574,0.9692,0.49853,0.97508,0.0008053,0.0008053,0.0008053
