epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,81963.4,1.12647,0.49331,1.32286,0.95452,0.95334,0.98259,0.69146,1.12966,0.42438,1.43473,0.0008647,0.0008647,0.0008647
43,83869.8,1.11872,0.48299,1.31278,0.95667,0.95153,0.98252,0.69381,1.12944,0.4215,1.43275,0.0008614,0.0008614,0.0008614
44,85778.5,1.11703,0.48111,1.31597,0.95719,0.95299,0.98297,0.69354,1.12652,0.41909,1.432,0.0008581,0.0008581,0.0008581
45,87692.2,1.10796,0.47806,1.30556,0.952,0.95372,0.98229,0.69226,1.12755,0.4219,1.43442,0.0008548,0.0008548,0.0008548
46,89605.4,1.11087,0.47876,1.31113,0.9517,0.9537,0.98158,0.69371,1.12871,0.41808,1.43501,0.0008515,0.0008515,0.0008515
47,91516.4,1.10182,0.47379,1.30785,0.95243,0.95334,0.98128,0.69242,1.12676,0.41861,1.43409,0.0008482,0.0008482,0.0008482
48,93426.1,1.10313,0.47288,1.30479,0.95179,0.95405,0.98241,0.69431,1.12523,0.41815,1.43259,0.0008449,0.0008449,0.0008449
49,95333.8,1.09493,0.47051,1.30218,0.95427,0.94891,0.9813,0.69378,1.12494,0.41696,1.43484,0.0008416,0.0008416,0.0008416
50,97238.6,1.09266,0.46554,1.29827,0.9533,0.95242,0.98219,0.69587,1.12442,0.41328,1.43341,0.0008383,0.0008383,0.0008383
51,99147.1,1.09619,0.47026,1.30206,0.95666,0.95124,0.98208,0.69479,1.12503,0.41364,1.43308,0.000835,0.000835,0.000835
52,101051,1.08467,0.46508,1.29298,0.9533,0.95738,0.98275,0.69621,1.12463,0.41172,1.43075,0.0008317,0.0008317,0.0008317
53,102960,1.07816,0.4642,1.28827,0.95534,0.95572,0.98339,0.6969,1.12468,0.4115,1.42961,0.0008284,0.0008284,0.0008284
54,104869,1.07562,0.45691,1.28511,0.95479,0.95489,0.98299,0.69802,1.12538,0.40959,1.4303,0.0008251,0.0008251,0.0008251
55,106772,1.07563,0.45892,1.28782,0.95471,0.95611,0.98335,0.69938,1.12285,0.40837,1.42853,0.0008218,0.0008218,0.0008218
56,108680,1.07399,0.4552,1.2873,0.95569,0.95382,0.98269,0.69878,1.12307,0.40679,1.43007,0.0008185,0.0008185,0.0008185
57,110582,1.0737,0.45844,1.28808,0.95506,0.95477,0.98304,0.69912,1.12301,0.40776,1.43026,0.0008152,0.0008152,0.0008152
58,112498,1.06596,0.45293,1.277,0.95869,0.95097,0.98265,0.69906,1.1232,0.4073,1.43024,0.0008119,0.0008119,0.0008119
59,114413,1.06318,0.45258,1.28112,0.95569,0.95263,0.98313,0.69991,1.12317,0.40734,1.43048,0.0008086,0.0008086,0.0008086
60,116307,1.04999,0.44451,1.26817,0.95536,0.95346,0.9823,0.70007,1.12329,0.40661,1.43198,0.0008053,0.0008053,0.0008053
61,118203,1.05927,0.44938,1.27422,0.95465,0.95223,0.98183,0.69906,1.12268,0.40703,1.43266,0.000802,0.000802,0.000802
62,120096,1.04236,0.44373,1.26498,0.95401,0.95417,0.98177,0.69942,1.12243,0.40535,1.43323,0.0007987,0.0007987,0.0007987
63,121995,1.04997,0.44189,1.27191,0.95269,0.95667,0.98223,0.70014,1.12249,0.40441,1.43383,0.0007954,0.0007954,0.0007954
64,123902,1.04655,0.44093,1.27055,0.95072,0.95892,0.98245,0.70075,1.12203,0.40218,1.43372,0.0007921,0.0007921,0.0007921
65,125803,1.03761,0.44008,1.2601,0.95285,0.95738,0.98245,0.70134,1.122,0.4006,1.43454,0.0007888,0.0007888,0.0007888
66,127700,1.03749,0.43805,1.2613,0.95456,0.95678,0.98203,0.70208,1.12199,0.39965,1.43503,0.0007855,0.0007855,0.0007855
67,129597,1.04589,0.43864,1.26818,0.95685,0.95489,0.98191,0.7007,1.12211,0.39885,1.43443,0.0007822,0.0007822,0.0007822
68,131501,1.03295,0.43509,1.25935,0.95666,0.95453,0.98206,0.70185,1.12221,0.39901,1.43424,0.0007789,0.0007789,0.0007789
69,133404,1.02859,0.4322,1.25529,0.9568,0.95462,0.98229,0.70268,1.1214,0.39789,1.43377,0.0007756,0.0007756,0.0007756
70,135312,1.02245,0.43039,1.25257,0.95792,0.95404,0.98247,0.70284,1.12139,0.39784,1.43398,0.0007723,0.0007723,0.0007723
71,137217,1.02323,0.42929,1.25532,0.95885,0.95322,0.98295,0.7026,1.12179,0.39762,1.43429,0.000769,0.000769,0.000769
72,139122,1.01826,0.43134,1.25276,0.9533,0.95964,0.9831,0.70403,1.12185,0.39727,1.43428,0.0007657,0.0007657,0.0007657
73,141030,1.01696,0.42878,1.24916,0.95453,0.95952,0.9833,0.70339,1.12159,0.39724,1.43426,0.0007624,0.0007624,0.0007624
74,142932,1.01743,0.42796,1.24674,0.95429,0.95914,0.983,0.70373,1.12203,0.39681,1.43452,0.0007591,0.0007591,0.0007591
75,144833,1.01376,0.42919,1.24435,0.95391,0.9594,0.98289,0.70405,1.12213,0.39587,1.43458,0.0007558,0.0007558,0.0007558
76,146740,1.00609,0.42257,1.23975,0.95422,0.95763,0.98299,0.70429,1.12258,0.39473,1.43525,0.0007525,0.0007525,0.0007525
77,148646,1.00266,0.42257,1.24323,0.95489,0.95751,0.98297,0.7045,1.12257,0.39478,1.43527,0.0007492,0.0007492,0.0007492
78,150549,1.00324,0.42053,1.23565,0.95939,0.95359,0.98295,0.70442,1.12298,0.39465,1.43586,0.0007459,0.0007459,0.0007459
79,152451,0.99456,0.41902,1.23502,0.95521,0.9575,0.98313,0.70457,1.12328,0.39479,1.43648,0.0007426,0.0007426,0.0007426
80,154356,0.99049,0.4177,1.22949,0.95545,0.95731,0.98303,0.70507,1.12325,0.39442,1.43674,0.0007393,0.0007393,0.0007393
81,156262,1.00227,0.41972,1.24043,0.95881,0.95336,0.98298,0.70486,1.12302,0.39406,1.43685,0.000736,0.000736,0.000736
82,158165,0.99786,0.41909,1.2377,0.95802,0.95512,0.98305,0.70558,1.12308,0.39381,1.4373,0.0007327,0.0007327,0.0007327
83,160072,0.97767,0.4106,1.21915,0.9568,0.95721,0.98319,0.70552,1.12317,0.3936,1.4377,0.0007294,0.0007294,0.0007294
84,161975,0.97907,0.40945,1.22362,0.95734,0.95619,0.98311,0.70604,1.12348,0.39318,1.43809,0.0007261,0.0007261,0.0007261
85,163880,0.97793,0.41258,1.21984,0.95769,0.95595,0.98307,0.70618,1.12378,0.3929,1.43861,0.0007228,0.0007228,0.0007228
86,165784,0.97737,0.4092,1.21994,0.95745,0.95631,0.98314,0.70624,1.12409,0.39269,1.43916,0.0007195,0.0007195,0.0007195
87,167689,0.97194,0.40824,1.21944,0.95701,0.95663,0.98301,0.70608,1.12431,0.3924,1.43966,0.0007162,0.0007162,0.0007162
88,169591,0.97812,0.40936,1.22582,0.95646,0.95667,0.98288,0.70623,1.12453,0.39203,1.44013,0.0007129,0.0007129,0.0007129
89,171494,0.97203,0.40806,1.21746,0.95654,0.95607,0.98271,0.70585,1.12479,0.39193,1.4406,0.0007096,0.0007096,0.0007096
90,173397,0.96357,0.40645,1.21112,0.95621,0.95643,0.98282,0.70565,1.12475,0.39179,1.44096,0.0007063,0.0007063,0.0007063
91,175301,0.95713,0.40015,1.21162,0.95608,0.95643,0.983,0.7058,1.12495,0.39179,1.44145,0.000703,0.000703,0.000703
92,177202,0.96079,0.40289,1.21527,0.9563,0.95609,0.98319,0.70603,1.12523,0.39173,1.4421,0.0006997,0.0006997,0.0006997
93,179105,0.94967,0.39766,1.20626,0.95674,0.95584,0.98319,0.70582,1.12544,0.39171,1.44273,0.0006964,0.0006964,0.0006964
94,180998,0.95402,0.39994,1.21111,0.95965,0.95444,0.98276,0.7058,1.12569,0.39149,1.44335,0.0006931,0.0006931,0.0006931
95,182892,0.95251,0.3992,1.21001,0.96073,0.9531,0.98272,0.70609,1.12594,0.39125,1.44395,0.0006898,0.0006898,0.0006898
96,184788,0.94998,0.40065,1.20829,0.95748,0.95584,0.98286,0.70635,1.12614,0.39114,1.44452,0.0006865,0.0006865,0.0006865
97,186696,0.94635,0.39505,1.20304,0.95811,0.95595,0.98284,0.70625,1.12633,0.39108,1.44507,0.0006832,0.0006832,0.0006832
98,188596,0.93976,0.3939,1.20071,0.95776,0.95584,0.98235,0.70602,1.12636,0.39091,1.4454,0.0006799,0.0006799,0.0006799
99,190499,0.94449,0.39638,1.20396,0.95753,0.95584,0.98239,0.7059,1.12652,0.39076,1.44584,0.0006766,0.0006766,0.0006766
100,192402,0.93244,0.3919,1.19591,0.95675,0.95608,0.98262,0.70631,1.1267,0.39056,1.44639,0.0006733,0.0006733,0.0006733
101,194304,0.93284,0.39334,1.19692,0.95721,0.956,0.9826,0.70627,1.1268,0.39043,1.4469,0.00067,0.00067,0.00067
102,196206,0.92849,0.38596,1.1879,0.95555,0.95714,0.9823,0.70617,1.12711,0.39025,1.4476,0.0006667,0.0006667,0.0006667
103,198109,0.9255,0.38834,1.18642,0.95446,0.95803,0.98241,0.70671,1.12716,0.39002,1.44804,0.0006634,0.0006634,0.0006634
